scan_date,point_card_id,store_id,employee_id,shoe_sold,shoe_exist_in_db,shoes_marked_sold_rwa,insole_sold,shoe_functional,size_recommendation,safesize_code,scanner_id,created_at
2025-09-08,8800972259473,10179,2063042,,,,,,,2500023558642,SC7-D95,
2025-09-08,8800968713187,10312,3211916,,,,,,,2500075865293,SC7-J65,
2025-09-08,6080041822698,10404,3229269,,,,,1,1,2500060516322,SC7-982,
2025-09-08,6080041821813,10350,3208935,,,,,1,,2500001779045,SC7-A70,
2025-09-08,6080041821226,10420,2058001,,,,,,,2500048100963,SC7-787,
2025-09-08,6080041821097,10413,3213774,,,,,,,2500079267369,SC7-768,
2025-09-08,6080041819056,10460,3228443,,,,,1,1,2500013147559,SC7-996,
2025-09-08,6080041739897,10275,3213404,,,,,1,1,2500050913940,SC7-973,
2025-09-08,6080039364063,10389,2913245,,,,,,,2500028908190,SC7-986,
2025-09-08,6080036430518,10314,2314027,,,,,1,1,2500062780196,SC7-A01,
2025-09-08,6080035890429,10029,3228326,,,,,1,,2500031868689,SC7-M14,
2025-09-08,6080029283749,10349,3228335,,,,,,,2500008000814,SC7-1125,
2025-09-08,6080024959908,10525,3227051,,,,,,,2500013843925,SC7-J17,
2025-09-08,6080024679134,10331,5555555,,,,,1,,2500005468648,SC7-1249,
2025-09-08,6080022248684,20254,1006079,,,,,1,,2500001082411,SC7-J50,
2025-09-08,6080021904093,10405,3200087,,,,,,,2500079489129,SC7-A22,
2025-09-08,6080021904093,10405,3200087,,,,,,,2500079489129,SC7-A22,
2025-09-08,6080021219876,10312,3211916,,,,,,,2500075865293,SC7-J65,
2025-09-08,6080018024582,10418,3204157,,,,,,,2500029462424,SC7-1204,
2025-09-08,6080012677456,20221,1800735,,,,,1,1,2500019266919,SC7-E27,
2025-09-08,6080011539991,10259,3207986,,,,,,,2500025076380,SC7-1190,
2025-09-08,6080010508318,10371,3221360,,,,,,,2500014250272,SC7-966,
2025-09-08,6080009667385,10413,3203287,,,,,,,2500005610603,SC7-I86,
2025-09-08,6080009215425,10405,3226104,,,,,,,2500002269859,SC7-I92,
2025-09-08,6080008674216,10466,3001294,,,,,,,2500055777318,SC7-938,
2025-09-08,6080008184807,10404,3229269,,,,,1,,2500001310781,SC7-982,
2025-09-08,6080008184807,10404,3228376,,,,,1,1,2500063708335,SC7-J66,
2025-09-08,6080006760522,10314,3221323,,,,,,,2500009018818,SC7-A01,
2025-09-08,6080006007610,20221,1800735,,,,,1,1,2500019045156,SC7-E27,
2025-09-08,6080003221545,10299,2051015,,,,,,,2500053960859,SC7-A71,
2025-09-08,6080002688622,10179,2063042,,,,,,,2500023558642,SC7-D95,
2025-09-08,6080001449125,20286,1800790,,,,,1,1,2500002315266,SC7-M19,
2025-09-08,6080000998105,10308,2077529,,,,,1,,2500014518310,SC7-J05,
2025-09-08,6080000982159,10415,3221910,,,,,,,2500083579816,SC7-A25,
2025-09-08,6080000848998,10389,3228890,,,,,,,2500024953255,SC7-986,
2025-09-08,6070907531321,10299,2051015,,,,,,,2500053960859,SC7-A71,
2025-09-08,6070903820412,10415,3221910,,,,,,,2500083579816,SC7-A25,
